시군명,관광지구분명,,관광지명,관광지소재지지번주소,,,,관광지소재지도로명주소,,,,위도,경도
가평군,관광지,,대성,경기도 가평군 청평면 대성리 601-6 일원,,,,,,,,37.68015224,127.3799451
가평군,관광지,,산장,경기도 가평군 상면 덕현리 20-13 일원,,,,경기도 가평군 상면 덕현산장길 71,,,,37.75417914,127.4106251
고양시,관광특구,,고양,경기도 고양시 일산서구 대화동 2606-1번지,,,,경기도 고양시 일산서구 한류월드로 282,,,,37.66382191,126.7556343
남양주시,관광지,,수동,경기도 남양주시 수동면 내방리 250 일원,,,,,,,,37.7580792,127.2760229
동두천시,관광특구,,동두천,경기도 동두천시 소요동 일원,,,,,,,,,
동두천시,관광지,,소요산,경기도 동두천시 상봉암동 산1-1 일원,,,,,,,,37.94593626,127.0693244
수원시,관광특구,,수원화성,경기도 수원시 장안구 연무동 190 일원,,,,,,,,37.28785509,127.0183205
안성시,관광단지,,죽산,경기도 안성시 죽산면 당목리 129 일원,,,,,,,,37.02376173,127.4493344
양주시,관광지,,장흥,경기도 양주시 장흥면 석현리 394-14 일원,,,,,,,,,
양평군,관광지,,용문산,경기도 양평군 용문면 신점리 525-2 일원,,,,,,,,37.54530642,127.5830573
여주시,관광지,,신륵사,경기도 여주시 천송동 289-4 일원,,,,경기도 여주시 신륵사길 30,,,,37.29839055,127.6557987
연천군,관광지,,한탄강,경기도 연천군 전곡읍 전곡리 692-1 일원,,,,경기도 연천군 전곡읍 선사로 40,,,,38.01166401,127.0563638
파주시,관광지,,임진각,경기도 파주시 문산읍 마정리 1198-1 일원,,,,,,,,37.89058083,126.7434464
파주시,관광특구,,통일동산,"경기도 파주시 탄현면 성동리 662 일원, 법흥리 1652-38 일원",,,,,,,,,
파주시,관광지,,공릉,경기도 파주시 조리읍 장곡리 420-11 일원,,,,경기도 파주시 조리읍 장곡로 218,,,,37.75013698,126.8355017
평택시,관광특구,,송탄,"경기도 평택시 서정동 신장1~2동, 지산동, 송북동",,,,,,,,,
평택시,관광지,,내리,경기도 평택시 팽성읍 내리 15-5,,,,,,,,,
평택시,관광단지,,평택호,경기도 평택시 현덕면 권관리 551-3 일원,,,,경기도 평택시 현덕면 평택호길 48,,,,36.91482854,126.9129148
포천시,관광지,,백운계곡,경기도 포천시 이동면 도평리 35 일원,,,,,,,,38.07223953,127.4100343
포천시,관광지,,산정호수,경기도 포천시 영북면 산정리 191-1 일원,,,,,,,,38.06887673,127.3221175
화성시,관광지,,궁평,경기도 화성시 서신면 궁평리 512-4 일원,,,,,,,,37.12928074,126.6828588
